"Occupation_desc","Entity_name","Country_name"
"Governor, Central Bank of Burma","KYAW KYAW MAUNG","Burma"
"Ambassador to the US","AUNG LYNN","Burma"
"Permanent Representative to the UN, New York","HAU DO SUAN","Burma"
"Pres.","Jorge Carlos de Almeida FONSECA","Cabo Verde"
"Prime Min.","Ulisses CORREIA E SILVA","Cabo Verde"
"Min. of Agriculture & Environment","Gilberto SILVA","Cabo Verde"
"Min. of Culture & Media","Abraao VICENTE","Cabo Verde"
"Min. of Economy","Jose GONCALVES","Cabo Verde"
"Min. of Education","Maritza ROSABAL","Cabo Verde"
"Min. of Finance","Olavo CORREIA","Cabo Verde"
"Min. of Foreign Affairs, Defense, & Communities","Luis Filipe TAVARES","Cabo Verde"
"Min. of Health & Social Security","Arlindo DO ROSARIO","Cabo Verde"
"Min. of Infrastructure","Eunice SILVA","Cabo Verde"
"Min. of Internal Affairs","Paulo ROCHA","Cabo Verde"
"Min. of Justice","Janine LELIS","Cabo Verde"
"Min. of the Presidency, Parliamentary Affairs, & Sports","Fernando Elisio FREIRE","Cabo Verde"
"Ambassador to the US","Carlos VEIGA","Cabo Verde"
"Permanent Representative to the UN, New York","Fernando Jorge WAHNON FERREIRA","Cabo Verde"
"King","Norodom SIHAMONI","Cambodia"
"Prime Min.","HUN SEN","Cambodia"
"Permanent Dep. Prime Min.","MEN SAM AN","Cambodia"
"Dep. Prime Min.","BIN CHHIN","Cambodia"
"Dep. Prime Min.","HOR NAMHONG","Cambodia"
"Dep. Prime Min.","KE KIMYAN","Cambodia"
"Dep. Prime Min.","KEAT CHHON","Cambodia"
"Dep. Prime Min.","NHEK BUNCHHAY","Cambodia"
"Dep. Prime Min.","SAR KHENG","Cambodia"
"Dep. Prime Min.","TEA BANH , Gen.","Cambodia"
"Dep. Prime Min.","YIM CHHAI LY","Cambodia"
"Min. of the Office of the Council of Ministers (Acting)","BIN CHHIN","Cambodia"
"Min. of Agriculture, Forestry, & Fisheries","VENG SAKHON","Cambodia"
"Min. of Commerce","PAN SORASAK","Cambodia"
"Min. of Cults & Religious Affairs","HIM CHHEM","Cambodia"
"Min. of Culture & Fine Arts","PHOEUNG SAKONA","Cambodia"
"Min. of Economy & Finance","AUN PORN MONIROTH","Cambodia"
"Min. of Education, Youth, & Sport","HANG CHUON NARON","Cambodia"
"Min. of Environment","SAY SAMAL","Cambodia"
"Min. of Foreign Affairs & Intl. Cooperation","PRAK SOKHON","Cambodia"
"Min. of Health","MAM BUN HENG","Cambodia"
"Min. of Industry & Handicraft","CHAM PRASIDH","Cambodia"
"Min. of Information","KHIEU KANHARITH","Cambodia"
"Min. of Interior","SAR KHENG","Cambodia"
"Min. of Justice","ANG VONG VATTANA","Cambodia"
"Min. of Labor & Vocational Training","ITH SAM HENG","Cambodia"
"Min. of Land Management, Urbanization, & Construction","CHEA SOPHARA","Cambodia"
"Min. of Mines & Energy","SUY SEM","Cambodia"
"Min. of National Defense","TEA BANH , Gen.","Cambodia"
"Min. of Planning","CHHAY THAN","Cambodia"
"Min. of Posts & Telecommunications","TRAM IV TEUK","Cambodia"
"Min. of Public Works & Transportation","SUN CHANTHOL","Cambodia"
"Min. of Relations With the National Assembly, Senate, & Inspection","MEN SAM AN","Cambodia"
"Min. of Rural Development","OUK RABUN","Cambodia"
"Min. of Social Affairs, War Veterans, & Youth Rehabilitation","VORNG SAUT","Cambodia"
"Min. of Tourism","THONG KHON","Cambodia"
"Min. of Water Resources & Meteorology","LIM KEAN-HAO","Cambodia"
"Min. of Women's Affairs","Ing Kantha PHAVI , Dr.","Cambodia"
"Governor, State Bank","CHEA CHANTO","Cambodia"
"State Secretariat of Civil Aviation","MAO HAVANNALL , Gen.","Cambodia"
"Ambassador to the US","CHUM SOUNRY","Cambodia"
"Permanent Representative to the UN, New York","SOVANN KE","Cambodia"
"Pres.","Paul BIYA","Cameroon"
"Prime Min.","Joseph Dion NGUTE","Cameroon"
"Dep. Prime Min.","Amadou ALI","Cameroon"
"Dep. Prime Min.","Jean NKUETE","Cameroon"
"Sec. Gen. of the Presidency","Ferdinand NGOH NGOH","Cameroon"
"Dep. Sec. Gen. of the Presidency","Paul Che ELUNG","Cameroon"
"Dep. Sec. Gen. of the Presidency","Moustapha MOHAMADOU","Cameroon"
"Min.-Del. at the Presidency in Charge of Defense","Joseph Beti ASSOMO","Cameroon"
"Min.-Del. at the Presidency in Charge of Public Contracts","Ibrahim TALBA MALLA","Cameroon"
"Min.-Del. at the Presidency in Charge of Relations With the Parliament","Bolvine WAKATA","Cameroon"
"Min.-Del. at the Presidency in Charge of the Supreme State Audit Bench","Mba Acha FOMUNDAM","Cameroon"
"Min. in Charge of Special Duties at the Presidency","Paul Mingo GHOGHOMU","Cameroon"
"Min. in Charge of Special Duties at the Presidency","Hamadou MUSTAPHA","Cameroon"
"Min. in Charge of Special Duties at the Presidency","Benoit NDONG SOUMHET","Cameroon"
"Min. in Charge of Special Duties at the Presidency","Rene Emmanuel SADI","Cameroon"
"Min. of Agriculture & Rural Development","Gabriel MBAIROBE","Cameroon"
"Min. of Arts & Culture","Pierre Ismael BIDOUNG KPWATT","Cameroon"
"Min. of Basic Education","Laurent Serge ETOUNDI NGOA","Cameroon"
"Min. of Civil Service & Admin. Reform","Michel Ange ANGOUIN","Cameroon"
"Min. of Commerce","Luc Magloire MBARGA ATANGANA","Cameroon"
"Min. of Communication","Rene Emmanuel SADI","Cameroon"
"Min. of Decentralization & Local Development","George Obam ELANGA","Cameroon"
"Min. of Economy, Planning, & Regional Development","Alamine Ousmane MEY","Cameroon"
"Min. of Employment & Professional Training","Bakary ISSA TCHIROMA","Cameroon"
"Min. of Environment & Nature Protection","Pierre HELE","Cameroon"
"Min. of External Relations","Lejeune MBELLA MBELLA","Cameroon"
"Min. of Finance","Louis-Paul MOTAZE","Cameroon"
"Min. of Forestry & Wildlife","Jules Doret NDONGO","Cameroon"
"Min. of Higher Education","Jacques Fame NDONGO","Cameroon"
"Min. of Justice & Keeper of the Seals","Jean de Dieu MOMO","Cameroon"
"Min. of Labor & Social Insurance","Gregroire OWONA","Cameroon"
"Min. of Land Tenure & State Property","Henri EYEBE AYISSI","Cameroon"
"Min. of Livestock & Fisheries","Aboubakary SARKI","Cameroon"
"Min. of Mines & Technological Development","Gabriel DODO NDOKE","Cameroon"
"Min. of National Education","Alim YOUSSOUF","Cameroon"
"Min. of Posts & Telecommunications","Minette Libom Li LIKENG","Cameroon"
"Min. of Public Health","Malachie MANAOUDA","Cameroon"
"Min. of Public Service","Joseph LE","Cameroon"
"Min. of Scientific Research & Innovation","Madeleine TCHUENTE","Cameroon"
"Min. of Secondary Education","Pauline Lyonga NALOVA","Cameroon"
"Min. of Small and Medium-Sized Enterprises, Social Economy, & Handicrafts","Achille BASSILEKIN III","Cameroon"
"Min. of Social Affairs","Pauline Irene NGUENE","Cameroon"
"Min. of Sports & Physical Education","Narcisse MOUELLE KOMBI","Cameroon"
"Min. of Territorial Admin.","Paul Atanga NJI","Cameroon"
"Min. of Tourism","Baba HAMADOU","Cameroon"
"Min. of Transport","Zakariaou NJOYA","Cameroon"
"Min. of Urban Development & Housing","Celestine Keutcha COURTES","Cameroon"
"Min. of Water & Energy","George Essomba ELOUNDA","Cameroon"
"Min. of Women & Family Protection","Marie Theresa Abena ONDOA","Cameroon"
"Min. of Youth & Civic Education","Mounouna FOUTSOU","Cameroon"
"Sec. of State for the Gendarmerie","Landry ETOGA","Cameroon"
"Sec. of State for Public Works","Armand NJODOM","Cameroon"
"Governor, Central Bank","Philibert ANDZEMBE","Cameroon"
"Ambassador to the US","Henri ETOUNDI Essomba","Cameroon"
"Permanent Representative to the UN, New York","Michel Tommo MONTHE","Cameroon"
"Governor Gen.","Julie PAYETTE","Canada"
"Prime Min.","Justin Pierre James TRUDEAU","Canada"
"Min. of Agriculture & Agri-Food","Lawrence MACAULAY","Canada"
"Min. of Border Security & Organized Crime Reduction","William BLAIR","Canada"
"Min. of Canadian Heritage & Multiculturalism","Pablo RODRIGUEZ","Canada"
"Min. of Crown-Indigenous Relations","Carolyn BENNETT","Canada"
"Min. of Democratic Institutions","Karina GOULD","Canada"
"Min. of Employment, Workforce Development, & Labor","Patricia A. HAJDU","Canada"
"Min. of Environment & Climate Change","Catherine MCKENNA","Canada"
"Min. of Families, Children, & Social Development","Jean-Yves DUCLOS","Canada"
"Min. of Finance","William Francis MORNEAU","Canada"
"Min. of Fisheries, Oceans, & the Canadian Coast Guard","Jonathan WILKINSON","Canada"
"Min. of Foreign Affairs","Chrystia FREELAND","Canada"
"Min. of Health","Ginette PETITPAS TAYLOR","Canada"
"Min. of Immigration, Refugees and Citizenship","Ahmed D. HUSSEN","Canada"
"Min. of Indigenous Services","Seamus O'REGAN","Canada"
"Min. of Infrastructure & Communities","Francois-Philippe CHAMPAGNE","Canada"
"Min. of Innovation, Science, and Economic Development","Navdeep Singh BAINS","Canada"
"Min. of Intergovernmental & Northern Affairs & Internal Trade","Dominic LEBLANC","Canada"
"Min. of Intl. Development","Marie-Claude BIBEAU","Canada"
"Min. of Intl. Trade Diversification","James Gordon CARR","Canada"
"Min. of Justice & Attorney Gen.","David LAMETTI","Canada"
"Min. of National Defense","Harjit Singh SAJJAN","Canada"
"Min. of National Revenue","Diane LEBOUTHILLIER","Canada"
"Min. of Natural Resources","Amarjeet SOHI","Canada"
"Min. of Public Safety & Emergency Preparedness","Ralph GOODALE","Canada"
"Min. of Public Services & Procurement & Accessibility","Carla QUALTROUGH","Canada"
"Min. of Rural Economic Development","Bernadette JORDAN","Canada"
"Min. of Science & Sport","Kirsty DUNCAN","Canada"
"Min. of Seniors","Filomena TASSI","Canada"
"Min. of Small Business & Export Promotion","Mary NG","Canada"
"Min. for Status of Women","Maryam MONSEF","Canada"
"Min. of Tourism, Official Languages, & La Francophonie","Melanie JOLY","Canada"
"Min. of Transport","Marc GARNEAU","Canada"
"Min. of Veterans Affairs","Jody WILSON-RAYBOULD","Canada"
"Pres., Treasury Board","Jane PHILPOTT","Canada"
"Leader of the Govt. in the House of Commons","Bardish CHAGGER","Canada"
"Leader of the Govt. in the Senate","Peter HARDER","Canada"
"Governor, Bank of Canada","Stephen POLOZ","Canada"
"Ambassador to the US","David MACNAUGHTON","Canada"
"Permanent Representative to the UN, New York","Marc-Andre BLANCHARD","Canada"
"Pres.","Faustin-Archange TOUADERA","Central African Republic"
"Prime Min.","Simplice SARANDJI","Central African Republic"
"Min. of Agriculture & Rural Development","Honore FEIZOURE","Central African Republic"
"Min. of Arts, Tourism, Culture, & Francophony","Gisele PANA","Central African Republic"
"Min. of Civil Service, Modernization of Admin., Labor, Employment, & Social Security","Abdoulaye MOUSSA","Central African Republic"
"Min. of Communication & Information","Charles Paul Lemasset MANDYA","Central African Republic"
"Min. of Defense","Joseph YAKETE","Central African Republic"
"Min. of Economy, Planning, & Cooperation","Felix MOLOUA","Central African Republic"
"Min. of the Environment, Sustainable Development, Water, Forestry, Hunting, & Fishing","Arlette SOMBO-DIBELE","Central African Republic"
"Min. of Equipment, Transport, Civil Aviation, & Access","Theodore JOUSSO","Central African Republic"
"Min. of Finance & Budget","Henri Marie DONDRA","Central African Republic"
"Min. of Foreign Affairs, African Integration, & Central Africans Abroad","Charles-Armel DOUBANE","Central African Republic"
"Min. of Health, Public Health, & Population","Fernande NDJENGBOT","Central African Republic"
"Min. of Housing, Social Housing, & Urban Planning","Gaby Francky LEFFA","Central African Republic"
"Min. of the Interior, Public Security, & Territorial Admin.","Jean Serge BOKASSA","Central African Republic"
"Min. of Justice & Human Rights & Keeper of the Seals","Flavien MBATTA","Central African Republic"
"Min. of Livestock & Animal Health","Yerima Youssoufa MANDJO","Central African Republic"
"Min. of Mines, Energy, & Hydraulics","Leopold MBOLI-FATRANE","Central African Republic"
"Min. of National Education, Higher Education, & Research","Moukadas NOURE","Central African Republic"
"Min. of National Entrepreneurship, Handicrafts, & Promotion of Small- & Medium-Sized Enterprises","Bertrand TOUABOY","Central African Republic"
"Min. of Posts & Telecommunications Responsible for the Promotion of New Information & Communication Technologies","Justin GOURNA-ZACKO","Central African Republic"
"Min. of Promotion of Youth, Sports Development, & Civil Service","Silvere NGARSO","Central African Republic"
"Min. of Social Affairs & National Reconciliation","Virginie BAIKOUA","Central African Republic"
"Min. of Trade & Industry","Come HASSANE","Central African Republic"
"Govt. Sec. Gen. in Charge of Relations With the Institutions of the Republic & Monitoring & Evaluation of Public Policies","Jean-Christophe NGUINZA","Central African Republic"
"Governor, Bank of Central African States","Abbas Mahamat TOLLI","Central African Republic"
"Ambassador to the US","Stanislas MOUSSA-KEMBE","Central African Republic"
"Permanent Representative to the UN, New York","Ambroisine KPONGO","Central African Republic"
"Pres.","Idriss DEBY Itno , Lt. Gen.","Chad"
"Min. of Civil Aviation, Transport, & National Meteorology","Mahamat OROZI","Chad"
"Min. of Communication & Govt. Spokesperson","Oumar Yaya HISSEIN","Chad"
"Min. of Economy & Development Planning","Issa DOUBRAGNE","Chad"
"Min. of Environment, Water, & Fisheries","Sidick Abdelkerim HAGGAR","Chad"
"Min. of Finance & Budget","Allali Mahamat ABAKAR","Chad"
"Min. of Foreign Affairs, African Integration, Intl. Cooperation, & the Diaspora","Mahamat ZENE Cherif","Chad"
"Min. of Higher Education, Research, & Innovation","David HOUDEINGAR","Chad"
"Min. of Infrastructure, Transport, & Access","Abdramane Mouctar MAHAMAT","Chad"
"Min. of Justice & Human Rights & Keeper of the Seals","Djimet ARABI","Chad"
"Min. of Livestock & Animal Production","Gayang SOUARE","Chad"
"Min. of Mines, Industrial Development, Trade, & Promotion of the Private Sector","Ahmat Mahamat BACHIR","Chad"
"Min. of National Education & Civic Promotion","Aboubakar Assidick TCHOROMA","Chad"
"Min. of Petroleum & Energy","Boukar MICHEL","Chad"
"Min. of Post, New Information Technology, & Communication & Govt. Spokesperson","Ndolenodji Alixe NAIMBAYE","Chad"
"Min. of Production, Irrigation, & Agricultural Equipment","Lydie BEASSEMDA","Chad"
"Min. for the Promotion of Youth, Sports, & Employment","Mahamat Abdoulaye NASSOUR","Chad"
"Min. of Public Health","Aziz Mahamat SALEH","Chad"
"Min. of Public Service, Labor, & Social Dialogue","Ali Mbodou MBODOUMI","Chad"
"Min. of Territorial Admin., Public Security, & Local Governance","Mahamat Abali SALAH","Chad"
"Min. of Territorial Planning, Urban Development, & Housing","Achta Ahmat BREME","Chad"
"Min. of Tourism Development, Culture, & Handicrafts","Madeleine ALINGUE","Chad"
"Min. of Vocational Training & Trades","Ruth TEDEBE","Chad"
"Min. of Women, Childhood Protection, & National Solidarity","Djalal Ardjoun KHALIL","Chad"
"Sec. Gen. of the Govt. Responsible for Relations With the National Assembly","Mariam Mahamat NOUR","Chad"
"Min. of State and Min.-Counselor to the Presidency of the Republic","Nouradine Delwa Kassire COUMAKOYE","Chad"
"Min.-Del. at the Presidency of the Republic in Charge of National Defense, War Veterans, & the Victims of War","Daoud Yaya SOUMAINE","Chad"
"Sec. of State for the Economy & Development Planning","Hisseine Tahir SOUGUIMI","Chad"
"Sec. of State for Finance & Budget","Ahmed Alkhoudar Ali FADEL","Chad"
"Sec. of State for Foreign Affairs, African Integration, Intl. Cooperation, & the Diaspora","Ndordji NAZER","Chad"
"Sec. of State for National Education & Civic Promotion","Achta Saleh DAMANE","Chad"
"Ambassador to the US","Ngote Gali KOUTOU","Chad"
"Permanent Representative to the UN, New York","Moustapha Ali ALIFEI","Chad"
"Pres.","Sebastian PINERA Echenique","Chile"
"Min. Gen. Secretariat of the Presidency","Gonzalo BLUMEL Mac-Iver","Chile"
"Min. Gen. Secretariat of Govt. (Spokesperson)","Cecilia PEREZ","Chile"
"Min. of Agriculture","Antonio WALKER","Chile"
"Min. of Economy, Development, & Tourism","Jose Ramon VALIENTE Vias","Chile"
"Min. of Education","Marcela CUBILLOS","Chile"
"Min. of Energy","Susana JIMENEZ","Chile"
"Min. of the Environment","Carolina SCHMIDT","Chile"
"Min. of Finance","Felipe LARRAIN","Chile"
"Min. of Foreign Affairs","Roberto AMPUERO Espinoza","Chile"
"Min. of Health","Emilio SANTELICES","Chile"
"Min. of Housing & Urban Development","Cristian MONCKEBERG","Chile"
"Min. of Interior & Public Security","Andres CHADWICK Pinera","Chile"
"Min. of Justice & Human Rights","Hernan LARRAIN","Chile"
"Min. of Labor & Social Security","Nicolas MONCKEBERG","Chile"
"Min. of Mining","Baldo PROKURICA","Chile"
"Min. of National Assets","Felipe WARD","Chile"
"Min. of the National Council for Culture & the Arts","Consuelo VALDES CHADWICK","Chile"
"Min. of National Defense","Alberto ESPINA Otero","Chile"
"Min. of Policy Coordination","Gabriel DE LA FUENTE","Chile"
"Min. of Public Works","Juan Andres FONTAINE","Chile"
"Min. of Social Development","Alfredo MORENO","Chile"
"Min. of Sports","Pauline KANTOR","Chile"
"Min. of Transport & Telecommunications","Gloria HUTT","Chile"
"Min. of Women & Gender Equality","Isabel PIA","Chile"
"Pres., Central Bank","Mario MARCELL Cullell","Chile"
"Ambassador to the US","Juan Gabriel VALDES Soublette","Chile"
"Permanent Representative to the UN, New York","Milenko SKOKNIC Tapia","Chile"
"Pres.","XI Jinping","China"
"Vice Pres.","WANG Qishan","China"
"Premier, State Council","LI Keqiang","China"
"Executive Vice Premier, State Council","HAN Zheng","China"
"Vice Premier, State Council","SUN Chunlan","China"
"Vice Premier, State Council","HU Chunhua","China"
"Vice Premier, State Council","LIU He","China"
"State Councilor, State Council","WEI Fenghe","China"
"State Councilor, State Council","XIAO Jie","China"
"State Councilor, State Council","WANG Yi","China"
"State Councilor, State Council","ZHAO Kezhi","China"
"State Councilor, State Council","WANG Yong","China"
"Sec. Gen., State Council","XIAO Jie","China"
"Chmn., Central Military Commission","XI Jinping","China"
"Chmn., National Development & Reform Commission","HE Lifeng","China"
"Min. in Charge of the National Health Commission","MA Xiaowei","China"
"Min. in Charge of the State Ethnic Affairs Commission","BATER","China"
"Min. of Agriculture","HAN Changfu","China"
"Min. of Civil Affairs","HUANG Shuxian","China"
"Min. of Commerce","ZHONG Shan","China"
"Min. of Culture","LUO Shugang","China"
"Min. of Education","CHEN Baosheng","China"
"Min. of Ecological Environment","LI Ganjie","China"
"Min. of Finance","LIU Kun","China"
"Min. of Foreign Affairs","WANG Yi","China"
"Min. of Housing & Urban-Rural Development","WANG Menghui","China"
"Min. of Human Resources & Social Security","ZHANG Jinan","China"
"Min. of Industry & Information Technology","MIAO Wei","China"
"Min. of Justice","FU Zhenghua","China"
"Min. of Natural Resources","LU Hao","China"
"Min. of National Defense","WEI Fenghe","China"
"Min. of Public Security","ZHAO Kezhi","China"
"Min. of Science & Technology","WANG Zhigang","China"
"Min. of State Security","CHEN Wenqing","China"
"Min. of Supervision","YANG Xiaodu","China"
"Min. of Transportation","LI Xiaopeng","China"
"Min. of Water Resources","E Jingping","China"
"Auditor Gen., National Audit Office","HE Zejun","China"
"Governor, People's Bank of China","YI Gang","China"
"Ambassador to the US","CUI Tiankai","China"
"Permanent Representative to the UN, New York","MA Zhaoxu","China"
"Chief Executive","Carrie LAM","China"
"Chief Sec. for Admin.","Matthew CHEUNG Kin-chung","China"
"Sec. for Civil Service","Joshua LAW Chi-kong","China"
"Sec. for Commerce & Economic Development","Edward YAU Tang-wah","China"
"Sec. for Constitutional & Mainland Affairs","Patrick NIP Tak-kuen","China"
"Sec. for Development","Michael WONG Wai-lun","China"
"Sec. for Education","Kevin YEUNG Yun-hung","China"
"Sec. for the Environment","WONG Kam-sing","China"
"Sec. for Finance","Paul CHAN Mo-po","China"
"Sec. for Financial Services & the Treasury","James LAU","China"
"Sec. for Food & Health","Sophia CHAN Siu-chee","China"
"Sec. for Home Affairs","LAU Kong-wah","China"
"Sec. for Innovation & Technology","Nicholas YANG Wei-hsiung","China"
"Sec. for Justice","Rimsky YUEN Kwok-keung","China"
"Sec. for Labor & Welfare","LAW Chi-kwong , Dr.","China"
"Sec. for Security","John LEE Ka-chiu","China"
"Sec. for Transport & Housing","Frank CHAN Fan","China"
"Chief Executive, Hong Kong Monetary Authority","Norman CHAN Tak-lam","China"
"Chief Justice","Geoffrey MA Tao-li","China"
"Pres., Legislative Council","Andrew LEUNG Kwan-yuen","China"
"Commissioner of Police","Stephen LO Wai-chung","China"
"Commissioner, Independent Commission Against Corruption","Simon PEH Yun-lu","China"
"Dir. of Audit","David SUN Tak-kei","China"
"Chief Executive","Fernando CHUI Sai-on","China"
"Sec. for Admin. & Justice","Florinda Da Rosa Silva CHAN","China"
"Sec. for Economics & Finance","Francis TAM Pak-yuen","China"
"Sec. for Security","CHEONG Kuoc Va","China"
"Sec. for Social Affairs & Culture","CHEONG U","China"
"Sec. for Transport & Public Works","LAU Si Io","China"
"Procurator Gen.","HO Chio Meng","China"
"Pres., Court of Final Appeal","SAM Hou Fai","China"
"Pres., Legislative Council","HO Iat Seng","China"
"Commissioner, Audit","HO Veng On","China"
"Commissioner, Independent Commission Against Corruption","FONG Man Chong","China"
"Pres.","Ivan DUQUE Marquez","Colombia"
"Vice Pres.","Marta Lucia RAMIREZ","Colombia"
"Sec. Gen. of the Presidency","Jorge Mario EASTMAN Robledo","Colombia"
"Min. of Agriculture & Rural Development","Andres VALENCIA Pinzon","Colombia"
"Min. of Commerce, Industry, & Tourism","Jose Manuel RESTREPO Abondano","Colombia"
"Min. of Culture","Carmen Ines VASQUEZ Camacho","Colombia"
"Min. of Defense","Guillermo BOTERO Nieto","Colombia"
"Min. of Education","Maria Victoria ANGULO","Colombia"
"Min. of Energy & Mines","Maria Fernanda SUAREZ Londono","Colombia"
"Min. of the Environment & Sustainable Development","Ricardo LOZANO","Colombia"
"Min. of Finance & Public Credit","Alberto CARRASQUILLA Barrera","Colombia"
"Min. of Foreign Relations","Carlos Holmes TRUJILLO Garcia","Colombia"
"Min. of Health & Social Protection","Juan Pablo URIBE","Colombia"
"Min. of Housing & Territorial Development","Jonathan MALAGON Gonzalez","Colombia"
"Min. of Information Technology & Communication","Silvia CONSTAIN Rengifo","Colombia"
"Min. of Interior","Nancy Patricia GUTIERREZ","Colombia"
"Min. of Justice & Law","Gloria Maria BORRERO","Colombia"
"Min. of Labor","Alicia ARANGO Olmos","Colombia"
"Min. of Transportation","Angela Maria OROZCO","Colombia"
"Dir., Dept. of National Planning","Gloria Amparo ALONSO Masmela","Colombia"
"Prosecutor Gen.","Nestor Humberto MARTINEZ","Colombia"
"Pres., Bank of the Republic","Juan Jose ECHAVARRIA","Colombia"
"Ambassador to the US","Francisco SANTOS Calderon","Colombia"
"Permanent Representative to the UN, New York","Guillermo FERNANDEZ DE SOTO Valderrama","Colombia"
"President","AZALI Assoumani","Comoros"
"Min. of Air & Sea Transport","Nourdine Ben AHMED","Comoros"
"Min. of the Economy & Investments","Bianrifi THARMIDHI","Comoros"
"Min. of Energy, Agriculture, Fisheries, & Environment","Moustadroine ABDOU","Comoros"
"Min. of Finances & Budget","Said Ali Said CHAYANE","Comoros"
"Min. of Foreign Affairs & Intl. Cooperation","Mohamed El-Amine SOUEF","Comoros"
"Min. of Health, Solidarity, Social Protection, & Gender Promotion","Rashid Mohamed MBARAKA Fatfma","Comoros"
"Min. of Interior, Information, & Decentralization","Mohamed ""Kiki"" DAOUDOU","Comoros"
"Min. of Justice, Islamic Affairs, Public Admin., & Human Rights","Mohamed Housseini DJAMALILALI","Comoros"
"Min. of National Education, Teaching, & Scientific Research","Salim MAHAMOUD","Comoros"
"Min. of Post and Telecommunications & Information and Communication Technologies","Abdallah Said SAROUMA","Comoros"
"Min. of Territory Development, Urbanism, & Land Affairs","Mohamed Chatur BADAOUI","Comoros"
"Min. of Youth, Employment, Occupational Integration, Culture, & Sports","Ladaenti HOUMATI","Comoros"
"Governor, Central Bank","Abdou Mohamed CHANFIOU","Comoros"
"Ambassador to the US","Soilihi Mohamed SOILIH","Comoros"
"Permanent Representative to the UN, New York","Soilihi Mohamed SOILIH","Comoros"
"Pres.","Joseph KABILA","Congo, Democratic Republic of the"
"Prime Min.","Samy BADIBANGA Ntita","Congo, Democratic Republic of the"
"Vice Prime Min.","Jose MAKILA","Congo, Democratic Republic of the"
"Vice Prime Min.","Leonard She OKITUNDU","Congo, Democratic Republic of the"
"Vice Prime Min.","Emmanuel RAMAZANI Shadary","Congo, Democratic Republic of the"
"Min. of Agriculture","Patrick Mayombe MUMBIOKO","Congo, Democratic Republic of the"
"Min. of Communications & Media","Lambert MENDE Omalanga","Congo, Democratic Republic of the"
"Min. of Cooperation & Development","Clement Kanku BUKASA","Congo, Democratic Republic of the"
"Min. of Cultural Affairs","Venant Tshipasa VANGI","Congo, Democratic Republic of the"
"Min. of Culture & Arts","Sylvain Maurice MASHEKE","Congo, Democratic Republic of the"
"Min. of Energy & Hydraulic Resources","Pierre Anatole MATUSILA","Congo, Democratic Republic of the"
"Min. of the Environment & Sustainable Development","Atis Kabongo KALONJI","Congo, Democratic Republic of the"
"Min. of Finance","Henri Yav MULANG","Congo, Democratic Republic of the"
"Min. of Fisheries & Livestock","Jean-Marie Bulambo KILOSHO","Congo, Democratic Republic of the"
"Min. of Foreign Affairs & Regional Integration","Leonard She OKITUNDU","Congo, Democratic Republic of the"
"Min. of Foreign Commerce","Boji Sangara BAMANYIRUE Aime","Congo, Democratic Republic of the"
"Min. of Gender, Family, & Children","Marie Louise MWANGE","Congo, Democratic Republic of the"
"Min. of Health","Ilunga KALENGA","Congo, Democratic Republic of the"
"Min. of Higher & University Education","Steves Mbikayi MABULUKI","Congo, Democratic Republic of the"
"Min. of Human Rights","Marie Ange MUSHOBUEKA","Congo, Democratic Republic of the"
"Min. of Hydrocarbons","Aime Ngoy MUKENA","Congo, Democratic Republic of the"
"Min. of Industry","Marcel Ilunga LEHU","Congo, Democratic Republic of the"
"Min. of Infrastructure, Public Works, & Reconstruction","Thomas LUHAKA Losendjola","Congo, Democratic Republic of the"
"Min. of Interior","Henri MOVA Sakanyi","Congo, Democratic Republic of the"
"Min. of Land Affairs","Felix Kabange NUMBI","Congo, Democratic Republic of the"
"Min. of Mines","Martin KABWELULU Labilo","Congo, Democratic Republic of the"
"Min. of National Defense, Former Fighters, & Reintegration","Crispin ATAMA Tabe","Congo, Democratic Republic of the"
"Min. of Parliamentary Relations","Tryphon KIN-KIEY Mulumba","Congo, Democratic Republic of the"
"Min. of Planning","Jean Lucien BUSSA","Congo, Democratic Republic of the"
"Min. of Portfolio","Wivine Mumba MATIPA","Congo, Democratic Republic of the"
"Min. of Posts, Telecommunications, & New Information & Communications Technologies","Ami Ambatombe NNONGOLO","Congo, Democratic Republic of the"
"Min. of Primary, Secondary, & Professional Education","Gaston MUSEMA","Congo, Democratic Republic of the"
"Min. of Professional Training, Jobs, & Handicrafts","Guy Mikulu POMBO","Congo, Democratic Republic of the"
"Min. of Relations With Parliament","Justin BITAKWIRA","Congo, Democratic Republic of the"
"Min. of Rural Development","Martine Ntumba BUKASA","Congo, Democratic Republic of the"
"Min. of Scientific Research","Bamboka LOBENDI","Congo, Democratic Republic of the"
"Min. of Small & Medium Enterprises","Eugene SERUFULI Ngayabaseka","Congo, Democratic Republic of the"
"Min. of Social Affairs & Humanitarian Action","Paluku Kisaka YEREYERE","Congo, Democratic Republic of the"
"Min. of Sports","Willy BAKONGA","Congo, Democratic Republic of the"
"Min. of Tourism","Andre Moke SANZA","Congo, Democratic Republic of the"
"Min. of Transportation & Communication","Jose MAKILA","Congo, Democratic Republic of the"
"Min. of Urbanization & Habitat","Joseph KOKONYANGI","Congo, Democratic Republic of the"
"Min. of Youth & Initiation to New Citizenship","Maguy Kiala BOLENGA","Congo, Democratic Republic of the"
"Min. of State for Budget","Pierre Kangudia MBAYI","Congo, Democratic Republic of the"
"Min. of State for Civil Service","Michel Bongongo IKOLI","Congo, Democratic Republic of the"
